"Ticker","Sector","Company","EPS Next Year Estimate Trends","EPS Next Quarter Estimate Trends","EPS Current Year Estimate Trends","EPS Current Quarter Estimate Trends","EPS Revisions","Value Industry Decile","Sentiment Industry Decile","Quality Industry Decile","Profitability Industry Decile","Price / Sales Industry Decile","Price / Free Cash Flow Industry Decile","Growth Industry Decile","Financial Safety Industry Decile","Industry","YTD Return vs S&P 500","1-Day Return vs S&P 500","5-Day Return vs S&P 500","1-Month Return vs S&P 500","3-Month Return vs S&P 500","6-Month Return vs S&P 500","1-Year Return vs S&P 500","2-Year Return vs S&P 500","3-Year Return vs S&P 500","5-Year Return vs S&P 500","10-Year Return vs S&P 500"
"WDC","Technology","Western Digital","9.39;9.44;9.91;12.79;0.00","2.06;2.08;2.15;2.59;0.00","7.64;7.72;7.80;8.74;0.00","1.89;1.91;1.95;2.32;0.00","","5","4","1","1","7","4","3","6","Computer Hardware","44.0%","-4.0%","-10.3%","-10.4%","46.9%","162.2%","475.4%","368.7%","689.8%","291.0%","413.4%"
"SNDK","Technology","SanDisk","20.95;21.47;74.19;81.01;0.00","4.47;4.65;4.91;18.08;0.00","12.80;13.02;39.56;39.84;0.00","3.54;3.67;3.84;13.94;0.00","","7","4","6","6","7","5","- ","2","Computer Hardware","123.7%","-5.4%","-15.0%","-9.0%","132.4%","664.7%","1015.2%","- ","- ","- ","- "
"Summary"," "," "," "," "," "," "," ","5","3","3","3","7","4","2","5"," ","43.7%","-2.8%","-6.8%","-2.3%","44.1%","182.6%","373.4%","167.6%","387.5%","360.8%","1507.4%"
"Confectioners (1 Stock)"
"HSY","Consumer Defensive","Hershey","7.96;8.11;8.40;9.73;0.00","1.16;1.22;1.24;1.62;0.00","6.79;6.92;7.05;8.36;0.00","1.81;1.82;1.81;2.04;0.00","","4","10","5","2","8","4","3","6","Confectioners","26.0%","0.6%","-2.8%","0.6%","25.8%","18.5%","10.0%","-11.3%","-71.3%","-19.3%","-91.4%"
"Summary"," "," "," "," "," "," "," ","4","10","5","2","8","4","3","6"," ","26.0%","0.6%","-2.8%","0.6%","25.8%","18.5%","10.0%","-11.3%","-71.3%","-19.3%","-91.4%"
"Conglomerates (1 Stock)"
"HON","Industrials","Honeywell Intl","11.57;11.55;11.44;11.49;0.00","2.60;2.59;2.56;2.56;0.00","10.54;10.52;10.53;10.54;0.00","2.39;2.38;2.33;2.32;0.00","","5","2","2","1","9","5","4","8","Conglomerates","22.8%","0.0%","-1.4%","2.0%","25.2%","13.3%","2.0%","-5.1%","-37.6%","-53.3%","-95.2%"
"Summary"," "," "," "," "," "," "," ","5","2","2","1","9","5","4","8"," ","22.8%","0.0%","-1.4%","2.0%","25.2%","13.3%","2.0%","-5.1%","-37.6%","-53.3%","-95.2%"
"Consumer Electronics (1 Stock)"
"AAPL","Technology","Apple","9.11;9.13;9.29;9.33;0.00","1.71;1.71;1.73;1.73;0.00","8.26;8.26;8.48;8.51;0.00","1.84;1.84;1.95;1.95;0.00","","4","8","3","1","8","4","1","6","Consumer Electronics","-3.7%","0.2%","-0.5%","-4.6%","-5.9%","3.0%","-9.0%","18.3%","-3.4%","29.7%","705.6%"
"Summary"," "," "," "," "," "," "," ","4","8","3","1","8","4","1","6"," ","-3.7%","0.2%","-0.5%","-4.6%","-5.9%","3.0%","-9.0%","18.3%","-3.4%","29.7%","705.6%"
"Consulting Services (2 Stocks)"
"VRSK","Industrials","Verisk Analytics","8.56;8.52;8.60;8.57;0.00","1.96;1.96;1.98;1.95;0.00","7.65;7.63;7.72;7.60;0.00","1.82;1.82;1.84;1.74;0.00","","3","4","1","1","7","5","3","8","Consulting Services","-2.4%","3.0%","5.5%","22.7%","-1.1%","-24.8%","-45.6%","-42.9%","-56.6%","-56.0%","-104.9%"
"EFX","Industrials","Equifax","10.74;10.71;10.61;10.42;0.00","2.28;2.28;2.25;2.26;0.00","8.83;8.81;8.72;8.68;0.00","1.81;1.80;1.79;1.68;0.00","","3","5","4","4","5","4","2","5","Consulting Services","-2.7%","1.8%","1.5%","9.0%","-0.1%","-21.1%","-33.7%","-55.8%","-70.0%","-61.4%","-186.4%"
"Summary"," "," "," "," "," "," "," ","3","5","3","3","6","5","3","7"," ","-2.5%","2.4%","3.5%","15.9%","-0.6%","-23.0%","-39.7%","-49.3%","-63.3%","-58.7%","-145.6%"
"Copper (1 Stock)"
"SCCO","Basic Materials","Southern Copper","5.56;5.40;5.59;5.70;0.00","1.29;1.31;1.53;1.71;0.00","5.43;5.67;6.04;7.04;0.00","1.26;1.29;1.50;1.83;0.00","","2","9","1","1","3","2","3","8","Copper","32.2%","-2.3%","-13.2%","-3.5%","35.1%","80.2%","98.4%","119.2%","110.0%","143.1%","646.1%"
"Summary"," "," "," "," "," "," "," ","2","9","1","1","3","2","3","8"," ","32.2%","-2.3%","-13.2%","-3.5%","35.1%","80.2%","98.4%","119.2%","110.0%","143.1%","646.1%"
"Credit Services (2 Stocks)"
"MA","Financial Services","Mastercard","22.19;22.20;22.57;22.62;0.00","4.78;4.78;4.84;4.84;0.00","19.11;19.11;19.50;19.55;0.00","4.28;4.29;4.40;4.41;0.00","","5","1","1","1","9","5","1","6","Credit Services","-6.8%","0.9%","3.0%","-2.0%","-2.5%","-14.9%","-23.3%","-23.3%","-28.4%","-39.0%","217.8%"
"V","Financial Services","Visa","14.43;14.43;14.51;14.53;0.00","3.18;3.17;3.17;3.17;0.00","12.81;12.80;12.84;12.85;0.00","3.07;3.07;3.09;3.09;0.00","","5","4","1","1","9","6","1","3","Credit Services","-7.8%","0.6%","1.2%","-1.3%","-2.4%","-11.7%","-25.9%","-20.4%","-30.0%","-35.1%","62.7%"
"Summary"," "," "," "," "," "," "," ","5","3","1","1","9","6","1","5"," ","-7.3%","0.7%","2.1%","-1.7%","-2.4%","-13.3%","-24.6%","-21.9%","-29.2%","-37.1%","140.2%"
"Diagnostics & Research (6 Stocks)"
"WGS","Healthcare","GeneDx Holdings","1.93;1.90;2.07;2.00;0.00","0.06;0.06;0.10;0.12;0.00","0.50;0.42;0.63;0.84;0.00","0.00;-0.01;-0.02;0.00;0.00","","4","1","5","6","7","5","5","3","Diagnostics & Research","-30.7%","8.8%","12.6%","7.3%","-43.0%","-38.1%","-28.2%","959.2%","433.5%","- ","- "
"IQV","Healthcare","IQVIA Hldgs","14.33;14.33;14.32;14.08;0.00","3.04;3.04;3.03;3.02;0.00","12.93;12.94;12.96;12.69;0.00","2.95;2.96;2.96;2.83;0.00","","1","5","4","2","4","1","2","7","Diagnostics & Research","-21.0%","-0.9%","-0.4%","-4.2%","-21.1%","-11.6%","-24.8%","-66.3%","-93.7%","-95.6%","-131.3%"
"LH","Healthcare","Labcorp Hldgs","19.21;19.19;19.20;19.28;0.00","4.65;4.64;4.63;4.72;0.00","17.55;17.52;17.52;17.73;0.00","4.11;4.10;4.11;4.13;0.00","","1","9","4","2","4","2","3","5","Diagnostics & Research","9.3%","-0.9%","-4.7%","0.3%","6.2%","-7.3%","-11.6%","-8.6%","-35.7%","-49.0%","-103.3%"
"DGX","Healthcare","Quest Diagnostics","11.24;11.24;11.25;11.48;0.00","2.74;2.75;2.75;2.84;0.00","10.36;10.36;10.39;10.64;0.00","2.35;2.35;2.36;2.36;0.00","","1","8","3","2","4","2","2","6","Diagnostics & Research","16.9%","-1.0%","-4.0%","7.2%","11.3%","5.0%","-0.6%","27.9%","-22.4%","-1.7%","-47.0%"
