"Ticker","Sector","Company","EPS Next Year Estimate Trends","EPS Next Quarter Estimate Trends","EPS Current Year Estimate Trends","EPS Current Quarter Estimate Trends","EPS Revisions","Value Industry Decile","Sentiment Industry Decile","Quality Industry Decile","Profitability Industry Decile","Price / Sales Industry Decile","Price / Free Cash Flow Industry Decile","Growth Industry Decile","Financial Safety Industry Decile","Industry","YTD Return vs S&P 500","1-Day Return vs S&P 500","5-Day Return vs S&P 500","1-Month Return vs S&P 500","3-Month Return vs S&P 500","6-Month Return vs S&P 500","1-Year Return vs S&P 500","2-Year Return vs S&P 500","3-Year Return vs S&P 500","5-Year Return vs S&P 500","10-Year Return vs S&P 500"
"CTAS","Industrials","Cintas","5.34;5.40;5.40;5.40;0.00","1.22;1.23;1.23;1.23;0.00","4.88;4.88;4.88;4.87;0.00","1.22;1.23;1.23;1.23;0.00","","5","3","1","1","8","7","2","4","Specialty Business Services","10.1%","0.9%","3.3%","7.0%","10.9%","-4.5%","-16.5%","-3.0%","14.8%","63.3%","640.1%"
"RBA","Industrials","RB Global","5.07;5.11;5.01;4.86;0.00","1.14;1.16;1.16;1.15;0.00","4.35;4.36;4.37;4.35;0.00","1.01;1.02;1.02;0.98;0.00","","5","1","4","5","7","6","1","4","Specialty Business Services","3.1%","-0.7%","5.2%","-8.5%","6.5%","-13.5%","-13.1%","7.2%","9.0%","22.9%","115.8%"
"Summary"," "," "," "," "," "," "," ","5","3","2","3","8","6","3","3"," ","-0.1%","1.1%","8.7%","9.6%","1.0%","-19.3%","-27.8%","-19.4%","-17.9%","12.5%","233.1%"
"Specialty Chemicals (3 Stocks)"
"ALB","Basic Materials","Albemarle","2.77;3.67;5.70;8.69;0.00","0.02;0.33;0.84;1.88;0.00","0.52;1.08;3.34;7.48;0.00","-0.55;-0.32;0.10;1.02;0.00","","5","8","8","8","8","5","7","5","Specialty Chemicals","16.3%","0.3%","-7.1%","2.1%","31.6%","96.1%","97.8%","5.4%","-107.2%","-68.3%","-83.3%"
"LIN","Basic Materials","Linde","19.57;19.55;19.54;19.48;0.00","4.45;4.44;4.45;4.45;0.00","17.85;17.82;17.82;17.83;0.00","4.26;4.25;4.25;4.27;0.00","","4","5","2","2","8","6","2","6","Specialty Chemicals","15.2%","0.2%","-2.6%","10.9%","22.9%","-1.0%","-13.4%","-28.0%","-32.4%","20.9%","129.4%"
"APD","Basic Materials","Air Products","13.95;13.82;13.88;14.02;0.00","3.33;3.34;3.33;3.31;0.00","12.99;12.91;12.96;13.03;0.00","3.02;3.01;3.02;3.05;0.00","","6","5","8","7","8","8","7","8","Specialty Chemicals","12.5%","-0.2%","0.8%","-1.1%","6.8%","-9.4%","-29.0%","-17.3%","-72.9%","-71.2%","-118.7%"
"Summary"," "," "," "," "," "," "," ","5","6","6","6","8","6","5","6"," ","14.7%","0.1%","-3.0%","4.0%","20.4%","28.6%","18.5%","-13.3%","-70.8%","-39.6%","-24.2%"
"Specialty Industrial Machinery (3 Stocks)"
"GTLS","Industrials","Chart Industries","16.30;15.56;14.91;14.36;0.00","3.23;3.11;3.11;3.09;0.00","13.37;12.94;13.09;12.99;0.00","2.51;2.39;2.38;2.47;0.00","","6","2","7","8","5","7","1","9","Specialty Industrial Machinery","2.0%","1.3%","2.0%","2.6%","2.6%","-0.7%","24.9%","11.4%","-33.5%","-47.4%","581.1%"
"GEV","Industrials","GE Vernova","19.11;20.08;22.19;22.47;0.00","3.02;3.01;3.07;3.45;0.00","13.01;13.25;14.59;14.67;0.00","1.99;2.01;2.07;1.96;0.00","","8","7","5","1","9","7","1","6","Specialty Industrial Machinery","22.4%","-1.8%","-7.6%","4.0%","26.7%","31.2%","151.0%","- ","- ","- ","- "
"GNRC","Industrials","Generac Hldgs","9.85;9.88;9.78;10.24;0.00","1.95;1.94;1.91;1.93;0.00","8.24;8.23;8.07;8.43;0.00","1.39;1.37;1.33;1.30;0.00","","5","8","6","6","7","7","4","7","Specialty Industrial Machinery","51.2%","-5.4%","-7.4%","13.9%","27.3%","7.9%","37.0%","48.7%","-10.9%","-121.5%","186.5%"
"Summary"," "," "," "," "," "," "," ","6","6","6","5","7","7","2","7"," ","25.2%","-2.0%","-4.4%","6.9%","18.9%","12.8%","71.0%","30.0%","-22.2%","-84.4%","383.8%"
"Specialty Retail (2 Stocks)"
"DKS","Consumer Cyclical","Dick's Sporting Goods","14.90;14.85;14.83;14.83;0.00","3.00;3.03;3.03;3.03;0.00","14.47;12.96;12.79;12.78;0.00","4.25;4.23;3.08;2.99;0.00","","4","10","3","2","6","7","1","6","Specialty Retail","1.2%","-1.1%","-1.1%","-2.5%","-13.0%","-14.5%","-24.8%","-21.2%","-12.5%","131.8%","195.2%"
"FIVE","Consumer Cyclical","Five Below","5.69;6.26;6.83;6.94;0.00","0.78;0.80;0.92;0.92;0.00","5.14;5.17;5.88;6.35;0.00","3.24;3.25;3.52;4.00;0.00","","6","6","7","2","8","7","1","5","Specialty Retail","15.9%","-1.5%","-1.7%","9.0%","25.9%","35.8%","132.2%","-31.9%","-67.3%","-70.6%","157.4%"
"Summary"," "," "," "," "," "," "," ","5","8","5","2","7","7","1","6"," ","8.5%","-1.3%","-1.4%","3.3%","6.5%","10.7%","53.7%","-26.5%","-39.9%","30.6%","176.3%"
"Steel (1 Stock)"
"STLD","Basic Materials","Steel Dynamics","14.73;14.85;15.57;15.70;0.00","3.15;3.44;3.63;3.69;0.00","13.07;13.22;13.86;13.80;0.00","2.92;3.12;3.19;3.18;0.00","","4","3","3","1","8","5","3","6","Steel","8.7%","-3.1%","-4.0%","-7.5%","11.8%","31.2%","28.2%","8.5%","-29.4%","242.1%","729.6%"
"Summary"," "," "," "," "," "," "," ","4","3","3","1","8","5","3","6"," ","8.7%","-3.1%","-4.0%","-7.5%","11.8%","31.2%","28.2%","8.5%","-29.4%","242.1%","729.6%"
"Telecom Services (2 Stocks)"
"CHTR","Communication Services","Charter Communications","48.81;51.16;53.09;51.11;0.00","10.61;10.61;10.89;10.76;0.00","43.16;43.26;44.07;44.57;0.00","10.01;10.01;10.00;10.19;0.00","","1","7","5","3","2","2","6","8","Telecom Services","12.8%","2.3%","1.0%","3.2%","14.8%","-15.8%","-58.2%","-51.3%","-110.3%","-150.8%","-284.3%"
"TMUS","Communication Services","T-Mobile US","14.85;14.68;14.73;13.81;0.00","2.89;2.87;2.91;2.72;0.00","11.76;11.62;11.62;10.93;0.00","2.68;2.65;2.66;2.07;0.00","","4","9","4","3","8","6","1","6","Telecom Services","11.2%","1.8%","4.1%","15.6%","7.8%","-16.1%","-33.1%","1.2%","-12.9%","-3.2%","200.9%"
"Summary"," "," "," "," "," "," "," ","3","8","5","3","5","4","4","7"," ","12.0%","2.0%","2.5%","9.4%","11.3%","-15.9%","-45.7%","-25.0%","-61.6%","-77.0%","-41.7%"
"Travel Services (2 Stocks)"
"EXPE","Consumer Cyclical","Expedia Group","21.49;21.54;21.71;22.79;0.00","4.71;4.76;4.77;4.99;0.00","17.91;18.04;18.16;19.26;0.00","0.71;0.72;0.72;1.37;0.00","","2","1","2","2","5","3","2","9","Travel Services","-10.2%","0.6%","18.0%","8.4%","-3.4%","12.0%","17.9%","55.0%","59.1%","-36.5%","-155.3%"
"ABNB","Consumer Cyclical","Airbnb","5.70;5.70;5.71;5.75;0.00","1.14;1.14;1.15;1.17;0.00","4.82;4.83;4.84;4.95;0.00","0.28;0.27;0.29;0.31;0.00","","3","2","2","1","9","6","2","3","Travel Services","-0.3%","-0.6%","0.6%","11.8%","8.8%","3.0%","-20.0%","-54.0%","-67.8%","-113.9%","- "
"Summary"," "," "," "," "," "," "," ","3","2","2","2","7","5","2","6"," ","-5.2%","0.0%","9.3%","10.1%","2.7%","7.5%","-1.1%","0.5%","-4.3%","-75.2%","-155.3%"
"Trucking (2 Stocks)"
"ODFL","Industrials","Old Dominion Freight Line","6.07;5.99;5.95;6.01;0.00","1.31;1.32;1.30;1.28;0.00","5.24;5.19;5.08;5.02;0.00","1.08;1.09;1.07;1.03;0.00","","7","9","1","1","9","4","6","2","Trucking","25.4%","-6.6%","-2.3%","-1.3%","26.8%","24.6%","-8.8%","-45.1%","-61.4%","-7.2%","492.0%"
"XPO","Industrials","XPO","5.62;5.61;5.48;5.75;0.00","1.27;1.25;1.19;1.27;0.00","4.51;4.45;4.26;4.46;0.00","0.90;0.87;0.80;0.88;0.00","","8","3","7","2","8","4","5","8","Trucking","40.4%","-7.2%","-8.3%","-4.6%","33.6%","39.5%","51.0%","15.2%","347.1%","278.8%","1839.7%"
"Summary"," "," "," "," "," "," "," ","8","6","4","2","9","4","6","5"," ","32.9%","-6.9%","-5.3%","-2.9%","30.2%","32.0%","21.1%","-14.9%","142.8%","135.8%","1165.8%"
"Utilities - Regulated Electric (4 Stocks)"
"DTE","Utilities","DTE Energy","8.33;8.31;8.31;8.30;0.00","1.52;1.52;1.49;1.48;0.00","7.73;7.72;7.73;7.72;0.00","1.96;1.96;2.01;2.09;0.00","","5","1","6","3","4","7","3","5","Utilities - Regulated Electric","17.9%","2.3%","3.3%","14.1%","17.1%","7.2%","0.1%","8.6%","-20.2%","-18.6%","-99.1%"
"DUK","Utilities","Duke Energy","7.18;7.17;7.17;7.16;0.00","1.22;1.22;1.22;1.21;0.00","6.71;6.70;6.70;6.70;0.00","1.71;1.71;1.72;1.71;0.00","","6","1","4","4","6","5","2","4","Utilities - Regulated Electric","15.6%","2.0%","3.3%","12.4%","16.3%","7.2%","0.6%","16.2%","-18.0%","-6.3%","-132.6%"
"AEP","Utilities","American Electric Power","6.80;6.81;6.81;6.86;0.00","1.47;1.48;1.49;1.51;0.00","6.32;6.32;6.32;6.36;0.00","1.55;1.55;1.58;1.56;0.00","","5","6","3","3","6","6","1","4","Utilities - Regulated Electric","16.8%","1.2%","0.6%","12.8%","14.7%","19.3%","14.0%","33.3%","-8.0%","12.5%","-97.5%"
"WEC","Utilities","WEC Energy Group","6.00;6.00;6.01;6.01;0.00","0.78;0.88;0.78;0.81;0.00","5.59;5.59;5.59;5.59;0.00","2.11;2.25;2.11;2.23;0.00","","6","9","4","3","8","6","2","4","Utilities - Regulated Electric","12.2%","1.1%","1.0%","7.6%","12.1%","4.6%","-3.5%","17.5%","-29.8%","-25.9%","-117.5%"
"Summary"," "," "," "," "," "," "," ","6","4","4","3","6","6","2","4"," ","15.6%","1.6%","2.0%","11.7%","15.0%","9.6%","2.8%","18.9%","-19.0%","-9.6%","-111.7%"
"Utilities - Regulated Gas (1 Stock)"
"ATO","Utilities","Atmos Energy","8.64;8.68;8.76;8.79;0.00","1.31;1.33;1.33;1.34;0.00","8.12;8.11;8.20;8.23;0.00","3.30;3.26;3.33;3.34;0.00","","7","1","1","5","10","9","1","2","Utilities - Regulated Gas","12.5%","1.1%","1.1%","11.3%","10.2%","7.8%","10.4%","33.0%","2.5%","40.6%","-66.3%"
"Summary"," "," "," "," "," "," "," ","7","1","1","5","10","9","1","2"," ","12.5%","1.1%","1.1%","11.3%","10.2%","7.8%","10.4%","33.0%","2.5%","40.6%","-66.3%"
"Utilities - Independent Power Producers (2 Stocks)"
"CEG","Utilities","Constellation Energy","13.40;13.58;13.52;13.53;0.00","2.68;2.86;2.75;2.74;0.00","11.41;11.51;11.63;11.60;0.00","2.51;2.68;2.75;2.47;0.00","","6","1","2","1","7","5","7","3","Utilities - Independent Power Producers","-8.1%","-2.6%","-1.3%","24.8%","-9.7%","1.3%","35.7%","44.2%","240.3%","- ","- "
"VST","Utilities","Vistra","10.51;10.54;10.62;10.91;0.00","2.25;2.17;2.19;2.25;0.00","8.83;8.79;8.76;8.82;0.00","1.38;1.26;1.27;1.31;0.00","","6","9","4","2","7","4","2","6","Utilities - Independent Power Producers","-0.1%","-3.9%","-6.7%","8.8%","-3.4%","-20.0%","20.6%","129.3%","506.4%","802.0%","- "
"Summary"," "," "," "," "," "," "," ","6","5","3","2","7","5","5","5"," ","-4.1%","-3.2%","-4.0%","16.8%","-6.5%","-9.3%","28.1%","86.7%","373.3%","802.0%","0.0%"
"Utilities - Regulated Water (1 Stock)"
"AWK","Utilities","American Water Works Co","6.54;6.54;6.55;6.56;0.00","1.59;1.59;1.62;1.65;0.00","6.09;6.09;6.10;6.10;0.00","1.14;1.13;1.13;1.17;0.00","","4","3","5","3","7","6","2","6","Utilities - Regulated Water","7.6%","3.5%","3.1%","14.1%","8.5%","-7.6%","-16.8%","-15.4%","-67.9%","-76.1%","-151.9%"
"Summary"," "," "," "," "," "," "," ","4","3","5","3","7","6","2","6"," ","7.6%","3.5%","3.1%","14.1%","8.5%","-7.6%","-16.8%","-15.4%","-67.9%","-76.1%","-151.9%"
"Waste Management (3 Stocks)"
"WM","Industrials","Waste Management","9.50;9.51;9.38;9.37;0.00","2.09;2.10;2.03;2.03;0.00","8.35;8.36;8.22;8.21;0.00","1.79;1.79;1.75;1.75;0.00","","3","1","2","1","6","3","1","8","Waste Management","13.5%","1.3%","4.2%","11.3%","16.8%","8.1%","-8.3%","-13.5%","-2.2%","36.3%","116.8%"
"RSG","Industrials","Republic Services","8.13;8.12;8.12;8.05;0.00","1.88;1.88;1.88;1.84;0.00","7.34;7.31;7.30;7.25;0.00","1.69;1.69;1.68;1.67;0.00","","3","3","2","2","7","3","2","4","Waste Management","10.9%","1.1%","2.9%","7.8%","8.6%","-3.4%","-18.0%","-6.8%","11.8%","73.2%","182.6%"
"WCN","Industrials","Waste Connections","6.38;6.39;6.32;6.22;0.00","1.42;1.42;1.41;1.37;0.00","5.67;5.66;5.62;5.46;0.00","1.25;1.24;1.22;1.19;0.00","","4","4","2","2","7","4","1","4","Waste Management","-1.2%","1.0%","0.9%","3.5%","0.1%","-9.3%","-26.6%","-32.6%","-44.8%","-14.7%","36.0%"
"Summary"," "," "," "," "," "," "," ","3","3","2","2","7","3","1","5"," ","7.7%","1.1%","2.7%","7.5%","8.5%","-1.6%","-17.6%","-17.6%","-11.7%","31.6%","111.8%"
"Summary"," "," "," "," "," "," "," ","4","4","3","3","7","5","3","5"," ","6.9%","0.5%","1.2%","5.3%","6.7%","10.9%","20.5%","25.4%","60.0%","45.4%","346.6%"
